ID,Publication Type,Article Title,Source Title,Conference Title,Abstract
11,C,EduMAS: A Novel LLM-Powered Multi-Agent Framework for Educational Support,"2024 IEEE INTERNATIONAL CONFERENCE ON BIG DATA, BIGDATA",2024 IEEE International Conference on Big Data,"In general, educational support with Large Language Models (LLMs) faces challenges in knowledge organization, expertise integration, and contextual adaptation. So, we present EduMAS, a novel multi-agent framework that coordinates specialized agents with graph-based knowledge navigation. Our framework introduces three key innovations: (1) Specialized Agents that provide expertise in different learning aspects to solve decomposed subtasks professionally; (2) Graph Navigator for graph-based knowledge extraction and selection to improve the quality of responses; (3) The Emotional Awareness mechanism for better contextual adaptation. Through comprehensive experiments on college-level physics education and evaluated by six state-of-the-art LLMs, EduMAS demonstrates significant improvements over the baseline model in complex concept integration, cross-disciplinary understanding, and theory-to-application translation. Ablation studies further validate the contribution of each framework component, Specialized Agents and Graph Navigator play important roles in performance improvement. Our work provides strong support for LLM-powered multi-agent system in AI-assisted education."
12,J,Towards normalized clinical information extraction in Chinese radiology report with large language models,EXPERT SYSTEMS WITH APPLICATIONS,,"Radiology reports serve as a fundamental component within electronic medical records. Converting unstructured free-text reports into structured formats holds paramount importance for the management and utilization of radiology reports. In this paper, we propose a novel information extraction paradigm named normalized clinical information extraction (NCIE) for Chinese radiology reports. Specifically, NCIE operates in an end-to- end fashion to extract normalized and structured clinical information without decomposing the information extraction process into multiple intermediate tasks. Motivated by recent progress in Large Language Models (LLMs), we address the NCIE problem based on the instruction tuning of LLMs. The proposed approach, termed Radiological Information End-to-end Extraction with LLM (RIEEL), excels at extracting structural information comprising radiological observations alongside their corresponding anatomical locations and status. To ensure the model in learning the normalized medical concepts correctly, we establish a radiology knowledge base with expert knowledge and further curate a high-quality instruction tuning dataset. Moreover, we incorporate two data-efficient learning strategies based on data augmentation and self-training to enhance the model's NCIE capabilities during instruction tuning. Through extensive experiments, we demonstrate that the proposed RIEEL achieves superior performances with different state-of-the-arts backbone LLMs, including Qwen1.5, Baichuan2 and LLaMA3. Remarkably, the best version of RIEEL surpasses GPT-4 in NCIE by a substantial margin of 30.61% in terms of the F1 score."
13,C,LLMProto: A Hardware-Efficient Finetuning Model for Few-Shot Relation Extraction with Large Language Model,"2025 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH AND SIGNAL PROCESSING (ICASSP)",2025 International Conference on Acoustics Speech and Signal Processing-ICASSP-Annual,"Recent studies have demonstrated that supervised fine-tuning of Large Language Models (LLMs) can significantly enhance performance across various Information Extraction (IE) tasks. However, the critical IE task of Relation Extraction (RE) faces substantial cost barriers in the supervised fine-tuning of LLMs within few-shot learning contexts. Addressing this challenge, we introduce a hardware-efficient finetuning model for few-shot RE with large language model (LLMProto), which aims to fine-tune LLMs at low hardware costs, thereby improving the performance of few-shot RE tasks. LLMProto tackles few-shot RE by integrating the LLM Base Layer and Prototypical Network Layer.LLM Base Layer effectively reduces task complexity, and the Prototypical Network Layer captures underlying structural patterns in the data. Experimental results on the datasets demonstrate LLMProto's superior performance in few-shot RE tasks, significantly outperforming existing baseline methods."
14,J,Roles and potential of Large language models in healthcare: A comprehensive review,BIOMEDICAL JOURNAL,,"Large Language Models (LLMs) are capable of transforming healthcare by demonstrating remarkable capabilities in language understanding and generation. They have matched or surpassed human performance in standardized medical examinations and assisted in diagnostics across specialties like dermatology, radiology, and ophthalmology. LLMs can enhance patient education by providing accurate, readable, and empathetic responses, and they can streamline clinical workflows through efficient information extraction from unstructured data such as clinical notes. Integrating LLM into clinical practice involves user interface design, clinician training, and effective collaboration between Artificial Intelligence (AI) systems and healthcare professionals. Users must possess a solid understanding of generative AI and domain knowledge to assess the generated content critically. Ethical considerations to ensure patient privacy, data security, mitigating biases, and maintaining transparency are critical for responsible deployment. Future directions for LLMs in healthcare include interdisciplinary collaboration, developing new benchmarks that incorporate safety and ethical measures, advancing multimodal LLMs that integrate text and imaging data, creating LLM-based medical agents capable of complex decisionmaking, addressing underrepresented specialties like rare diseases, and integrating LLMs with robotic systems to enhance precision in procedures. Emphasizing patient safety, ethical integrity, and human-centered implementation is essential for maximizing the benefits of LLMs, while mitigating potential risks, thereby helping to ensure that these AI tools enhance rather than replace human expertise and compassion in healthcare."
15,C,LLM-Driven Knowledge Extraction in Temporal and Description Logics,"KNOWLEDGE ENGINEERING AND KNOWLEDGE MANAGEMENT, EKAW 2024",24th International Conference on Knowledge Engineering and Knowledge Management-EKAW,"Trustworthy knowledge extraction represents a bottleneck in the development of autonomous AI agents capable of integrating learning and reasoning capabilities. As a foundational framework of neurosymbolic knowledge acquisition systems from semi-structured data, we introduce an approach that combines Large Language Model (LLM) functionalities with symbolic verification modules. In a process mining context, we propose to leverage LLMs to generate linear temporal logic specifications starting from sets of finite traces that represent event logs. In a knowledge representation setting, we focus instead on LLM-based extraction of description logic concepts to obtain human-readable conceptualizations that separate positive and negative labeled data instances. We integrate chat interfaces based on state-of-the-art LLMs with formal verification modules: in the process mining case, we employ model checking tools for linear temporal logic on finite traces; and, for description logic concept learning, we perform entailment checks using dedicated reasoning engines. First, we conduct a proof-of-concept evaluation of these architectures, comparing the performance of the LLMs on each task. We then provide an implementation of a GPT-based toolchain to automate the candidate generation and verification steps."
16,C,Bio Medical Named Entity Recognition Using Large Language Models,"2024 4TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND SIGNAL PROCESSING, AISP",4th International Conference on Artificial Intelligence and Signal Processing,"The ever-growing volume of biomedical text data necessitates efficient and accurate methods for information extraction. In this context, BioNER serves as a main source that contributes in automating the identification and classification of various biomedicine objects like genes, diseases, chemicals and species within the text. The current study aims at investigating the applicability of large language models (LLMs) in solving BioNER tasks. A comparison of the performance of two leading large language models, namely BLOOM and Gemma, in biomedical entity identification and classification is presented. Established benchmark datasets are used to determine which large language model among the two achieves higher accuracy and robustness in BioNER tasks. The evaluation's outcome will be used to incorporate the chosen large language model into an interactive user interface that is easier to understand. The large language model for BioNER applications will be operated and controlled by users through this user interface. To ensure that the biomedical research community can readily accept the use of BioNER methodologies, especially using machine learning methods, it is imperative to provide such a tool. Furthermore, this research can provide faster BioNER task processing and better accuracy if paired with a big language model.."
17,C,ChatUIE: Exploring Chat-based Unified Information Extraction using Large Language Models,"PROCEEDINGS OF THE 2024 JOINT INTERNATIONAL CONFERENCE ON COMPUTATIONAL LINGUISTICS, LANGUAGE RESOURCES AND EVALUATION, LREC-COLING 2024","2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation-LREC-COLING","Recent advancements in large language models have shown impressive performance in general chat. However, their domain-specific capabilities, particularly in information extraction, have certain limitations. Extracting structured information from natural language that deviates from known schemas or instructions has proven challenging for previous prompt-based methods. This motivated us to explore domain-specific modeling in chat-based language models as a solution for extracting structured information from natural language. In this paper, we present ChatUlE, an innovative unified information extraction framework built upon ChatGLM. Simultaneously, reinforcement learning is employed to improve and align various tasks that involve confusing and limited samples. Furthermore, we integrate generation constraints to address the issue of generating elements that are not present in the input. Our experimental results demonstrate that ChatUlE can significantly improve the performance of information extraction with a slight decrease in chatting ability."
18,C,Improving LLM-Based Health Information Extraction with In-Context Learning,"HEALTH INFORMATION PROCESSING: EVALUATION TRACK PAPERS, CHIP 2023",9th China Health Information Processing Conference (CHIP),"The Large Language Model (LLM) has received widespread attention in the industry. In the context of the popularity of LLM, almost all NLP tasks are transformed into prompt based language generation tasks. On the other hand, LLM can also achieve superior results on brand new tasks without fine-tuning, solely with a few in-context examples. This paper describes our participation in the China Health Information Processing Conference (CHIP 2023). We focused on in-context learning (ICL) and experimented with different combinations of demonstration retrieval strategies on the given task and tested the optimal strategy combination proposed by us. The experimental results show that our retrieval strategies based on Chinese-LlaMA2-13B-chat achieved a average score of 40.27, ranked the first place among five teams, confirmed the effectiveness of our method."
19,C,Impact of Sample Selection on In-Context Learning for Entity Extraction from Scientific Writing,FINDINGS OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS - EMNLP 2023,Conference on Empirical Methods in Natural Language Processing (EMNLP),"Prompt-based usage of Large Language Models (LLMs) is an increasingly popular way to tackle many well-known natural language problems. This trend is due, in part, to the appeal of the In-Context Learning (ICL) prompt set-up, in which a few selected training examples are provided along with the inference request. ICL, a type of few-shot learning, is especially attractive for natural language processing (NLP) tasks defined for specialised domains, such as entity extraction from scientific documents, where the annotation is very costly due to expertise requirements for the annotators. In this paper, we present a comprehensive analysis of in-context sample selection methods for entity extraction from scientific documents using GPT-3.5 and compare these results against a fully supervised transformer-based baseline. Our results indicate that the effectiveness of the in-context sample selection methods is heavily domain-dependent, but the improvements are more notable for problems with a larger number of entity types. More in-depth analysis shows that ICL is more effective for low-resource setups of scientific information extraction.(1)"
20,J,A Systems Approach to Validating Large Language Model Information Extraction: The Learnability Framework Applied to Historical Legal Texts,INFORMATION,,"This paper introduces a learnability framework for validating large language model (LLM) information extraction without ground-truth annotations. Applied to 20,809 Ottoman legal texts, the framework achieves a Learnability Score of 0.891 through multi-classifier consensus, with external validation confirming substantial agreement across five diverse LLMs (kappa = 0.785) and human experts (kappa = 0.786). The approach treats internal consistency as a measurable systemic property, where heterogeneous machine learning models independently rediscover LLM-assigned patterns. Confusion analysis reveals errors concentrate at jurisprudentially meaningful boundaries (e.g., commercial-inheritance: 20.4% of disagreements), demonstrating semantic coherence rather than arbitrary noise. The framework offers practical validation for historical and specialized corpora where traditional annotation is infeasible, processing documents at USD 0.01 each with parallelizable throughput. Validated annotations enable knowledge graph construction with 20,809 document nodes, 7 category nodes, and confusion-weighted semantic proximity edges. This systems-based methodology advances reproducible computational research in domains lacking established benchmarks."
21,J,Structured information extraction from scientific text with large language models,NATURE COMMUNICATIONS,,"Extracting structured knowledge from scientific text remains a challenging task for machine learning models. Here, we present a simple approach to joint named entity recognition and relation extraction and demonstrate how pretrained large language models (GPT-3, Llama-2) can be fine-tuned to extract useful records of complex scientific knowledge. We test three representative tasks in materials chemistry: linking dopants and host materials, cataloging metal-organic frameworks, and general composition/phase/morphology/application information extraction. Records are extracted from single sentences or entire paragraphs, and the output can be returned as simple English sentences or a more structured format such as a list of JSON objects. This approach represents a simple, accessible, and highly flexible route to obtaining large databases of structured specialized scientific knowledge extracted from research papers. Extracting scientific data from published research is a complex task required specialised tools. Here the authors present a scheme based on large language models to automatise the retrieval of information from text in a flexible and accessible manner."
22,J,RAMIE: retrieval-augmented multi-task information extraction with large language models on dietary supplements,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,"Objective To develop an advanced multi-task large language model (LLM) framework for extracting diverse types of information about dietary supplements (DSs) from clinical records.Methods We focused on 4 core DS information extraction tasks: named entity recognition (2 949 clinical sentences), relation extraction (4 892 sentences), triple extraction (2 949 sentences), and usage classification (2 460 sentences). To address these tasks, we introduced the retrieval-augmented multi-task information extraction (RAMIE) framework, which incorporates: (1) instruction fine-tuning with task-specific prompts; (2) multi-task training of LLMs to enhance storage efficiency and reduce training costs; and (3) retrieval-augmented generation, which retrieves similar examples from the training set to improve task performance. We compared the performance of RAMIE to LLMs with instruction fine-tuning alone and conducted an ablation study to evaluate the individual contributions of multi-task learning and retrieval-augmented generation to overall performance improvements.Results Using the RAMIE framework, Llama2-13B achieved an F1 score of 87.39 on the named entity recognition task, reflecting a 3.51% improvement. It also excelled in the relation extraction task with an F1 score of 93.74, a 1.15% improvement. For the triple extraction task, Llama2-7B achieved an F1 score of 79.45, representing a significant 14.26% improvement. MedAlpaca-7B delivered the highest F1 score of 93.45 on the usage classification task, with a 0.94% improvement. The ablation study highlighted that while multi-task learning improved efficiency with a minor trade-off in performance, the inclusion of retrieval-augmented generation significantly enhanced overall accuracy across tasks.Conclusion The RAMIE framework demonstrates substantial improvements in multi-task information extraction for DS-related data from clinical records."
23,J,Deepening graph-based approaches for Portuguese open information extraction with LLM augmentation,COMPUTER SPEECH AND LANGUAGE,,"Utilizing richer information, such as structural and syntactic details, can enhance Natural Language Processing (NLP) tasks like Open Information Extraction (Open IE), particularly for languages with limited resources like Portuguese. Knowledge Graphs (KGs) offer a robust solution by unifying diverse annotations and enabling the application of Graph Machine Learning (Graph ML). This paper presents an advanced framework for Portuguese Open IE, integrating KGs and Graph ML with Large Language Model (LLM) augmentation. Our framework employs a three-stage process: (1) initial Knowledge Graph (KG) construction from text, followed by (2) Predicate Extraction and (3) Subject/Object Extraction, both leveraging GraphSAGE models. Large Language Models (LLMs) (DeepSeek) are used for augmentation when Graph ML predictions are absent or for refining/validating extractions. We present two versions of a system that was evaluated on a Portuguese dataset. Automatic evaluation (word-based) for the best version of the system yielded an F1-score of 64.9% for Predicate extraction and 89.7% for Subject/Object extraction. The final end-to-end performance of the system is an F1-score of 58.2%. A human evaluation was conducted on 51 Portuguese sentences (yielding 100 triples) by two annotators, achieving a substantial agreement (Cohen's Kappa of 0.67). The system extracted an average of 1.84 triples per sentence, with 53.9% deemed correct. Notably, this version significantly reduced invalid/wrong extractions to 6.6% from 31.7% in the previous version, demonstrating improved Precision while maintaining the ability to extract multiple meaningful triples."
24,J,Generative AI as a Pillar for Predicting 2D and 3D Wildfire Spread: Beyond Physics-Based Models and Traditional Deep Learning,FIRE-SWITZERLAND,,"Wildfires increasingly threaten human life, ecosystems, and infrastructure, with events like the 2025 Palisades and Eaton fires in Los Angeles County underscoring the urgent need for more advanced prediction frameworks. Existing physics-based and deep-learning models struggle to capture dynamic wildfire spread across both 2D and 3D domains, especially when incorporating real-time, multimodal geospatial data. This paper explores how generative artificial intelligence (AI) models-such as GANs, VAEs, and transformers-can serve as transformative tools for wildfire prediction and simulation. These models offer superior capabilities in managing uncertainty, integrating multimodal inputs, and generating realistic, scalable wildfire scenarios. We adopt a new paradigm that leverages large language models (LLMs) for literature synthesis, classification, and knowledge extraction, conducting a systematic review of recent studies applying generative AI to fire prediction and monitoring. We highlight how generative approaches uniquely address challenges faced by traditional simulation and deep-learning methods. Finally, we outline five key future directions for generative AI in wildfire management, including unified multimodal modeling of 2D and 3D dynamics, agentic AI systems and chatbots for decision intelligence, and real-time scenario generation on mobile devices, along with a discussion of critical challenges. Our findings advocate for a paradigm shift toward multimodal generative frameworks to support proactive, data-informed wildfire response."
25,J,Large Language Model Embedding for Cold-Start Item Recommendation via Data Augmentation and Regularization,IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,,"The cold-start problem constitutes a persistent challenge in recommender systems (RecSys). Recent advances in large language model (LLM) for natural language processing have inspired researchers to utilize their semantic understanding and knowledge extraction capabilities in recommendation tasks. LLM shows clear advantages in addressing cold-start items. However, current methods often rely on direct online LLM inference. This approach causes high computational costs and latency. To overcome these limitations, we propose large language model embedding for cold-start item recommendation via data augmentation and regularization (LLM-DAR). Our method transfers LLM capabilities to RecSys through semantic embeddings. This reduces computational costs and latency in online recommendations, making the system more suitable for high-concurrency real-time recommendation scenarios. Specifically, we first use LLM to extract semantic embeddings from item descriptions. Based on these embeddings, we implement data augmentation by associating cold-start items with similar popular items from users' historical interactions, generating synthetic interaction samples to bridge knowledge gaps. To ensure effective learning of semantic relationships, we design a regularization constraint. This constraint pulls semantically similar items closer in the vector space."
26,C,Generative AI for Research Data Processing: Lessons Learnt From Three Use Cases,"2024 IEEE 20TH INTERNATIONAL CONFERENCE ON E-SCIENCE, E-SCIENCE 2024",20th IEEE International Conference on E-Science (E-Science),"There has been enormous interest in generative AI since ChatGPT was launched in 2022. However, there are concerns about the accuracy and consistency of the outputs of generative AI. We have carried out an exploratory study on the application of this new technology in research data processing. We identified tasks for which rule-based or traditional machine learning approaches were difficult to apply, and then performed these tasks using generative AI. We demonstrate the feasibility of using the generative AI model Claude 3 Opus in three research projects involving complex data processing tasks: 1) Information extraction: We extract plant species names from historical seedlists (catalogues of seeds) published by botanical gardens. 2) Natural language understanding: We extract certain data points (name of drug, name of health indication, relative effectiveness, cost-effectiveness, etc.) from documents published by Health Technology Assessment organisations in the EU. 3) Text classification: We assign industry codes to projects on the crowdfunding website Kickstarter. We share the lessons we learnt from these use cases: How to determine if generative AI is an appropriate tool for a given data processing task, and if so, how to maximise the accuracy and consistency of the results obtained."
